name,code,gender
KUTLUHAN,TR,M
KUTSI,TR,M
KUZEY,TR,M
KVANC,TR,M
KYMET,TR,F
LALE,TR,F
LALEHAN,TR,F
LALIZAR,TR,F
LATIFE,TR,F
LAYLA,TR,F
LEMAN,TR,F
LEMI,TR,M
LEVENT,TR,M
LEYLA,TR,F
LIMAN,TR,M
LOKMAN,TR,M
LUTFI,TR,M
LUTFIYE,TR,F
LUTFU,TR,M
MACIDE,TR,F
MACIT,TR,M
MAHBUBE,TR,F
MAHFUZ,TR,M
MAHIR,TR,M
MAHMUD,TR,M
MAHMURE,TR,F
MAHMUT,TR,M
MAHO,TR,M
MAHSUN,TR,M
MAKBULE,TR,F
MAKSUT,TR,M
MALIK,TR,M
MARUF,TR,M
MAZLUM,TR,M
MECBURE,TR,F
MECIT,TR,M
MECNUN,TR,M
MEDET,TR,M
MEDIHA,TR,F
MEDINE,TR,F
MEFKURE,TR,F
MEHMET,TR,M
MEHRAN,TR,M
MEHTAP,TR,F
MEHVES,TR,F
MELAHAT,TR,F
MELDA,TR,F
MELEHAT,TR,F
MELEK,TR,F
MELIH,TR,M
MELIHA,TR,F
MELIHAT,TR,F
MELIHCAN,TR,M
MELIK,TR,M
MELIKE,TR,F
MELIS,TR,F
MELISA,TR,F
MELTEM,TR,F
MEMDUH,TR,M
MEMIS,TR,M
MEMNUNE,TR,F
MENDERES,TR,M
MENEKSE,TR,F
MENO,TR,M
MENSURE,TR,F
MERAL,TR,F
MERCAN,TR,F
MERIC,TR,F
MERIH,TR,M
MERT,TR,M
MERTCAN,TR,M
MERTER,TR,M
MERTKAN,TR,M
MERVE,TR,F
MERYEM,TR,F
MESUDE,TR,F
MESURE,TR,F
MESUT,TR,M
METE,TR,M
METEHAN,TR,M
METIN,TR,M
MEVLUDE,TR,F
MEVLUT,TR,M
MEVLUTHAN,TR,M
MEVSER,TR,F
MEVSUR,TR,?
MEYDAN,TR,M
MIHRIBAN,TR,F
MIHRICAN,TR,F
MIKAIL,TR,M
MIKTAT,TR,M
MINE,TR,F
MIRAC,TR,F
MIRAY,TR,F
MIRHAN,TR,F
MITHAT,TR,M
MIYASE,TR,F
MOHAMMAD,TR,M
MUALLA,TR,F
MUAMMER,TR,M
MUAZZEZ,TR,F
MUBERRA,TR,F
MUCAHIT,TR,M
MUCELLA,TR,F
MUFIT,TR,M
MUGE,TR,F
MUHAMMED,TR,M
MUHAMMER,TR,M
MUHAMMET,TR,M
MUHARREM,TR,M
MUHITTIN,TR,M
MUHSIN,TR,M
MUHSINE,TR,F
MUHTAR,TR,M
MUHTEREM,TR,F
MUJDAT,TR,M
MUJDE,TR,F
MUJGAN,TR,F
MUKADDER,TR,F
MUKADDES,TR,F
MUKERREM,TR,?
MUKREMIN,TR,M
MUKRIME,TR,F
MULKIYE,TR,F
MUMIN,TR,M
MUMTAZ,TR,M
MUNA,TR,F
MUNEVVER,TR,F
MUNIR,TR,M
MUNIRE,TR,F
MUNUR,TR,M
MURAT,TR,M
MURATCAN,TR,M
MURATHAN,TR,M
MURSEL,TR,?
MURSUDE,TR,F
MURUVVET,TR,F
MURVET,TR,F
MUSA,TR,M
MUSAT,TR,M
MUSERREF,TR,F
MUSLUM,TR,M
MUSTAFA,TR,M
MUTLU,TR,?
MUTTALIP,TR,M
MUYESSER,TR,F
MUZAFFER,TR,M
MUZEYYEN,TR,F
NACI,TR,M
NACIYE,TR,F
NADIDE,TR,F
NADIR,TR,M
NADIRE,TR,F
NADIYE,TR,F
NAFI,TR,M
NAFIYE,TR,F
NAFIZ,TR,M
NAGEHAN,TR,F
NAGI,TR,M
NAGIHAN,TR,F
NAHIDE,TR,F
NAHIT,TR,M
NAIL,TR,M
NAILE,TR,F
NAIM,TR,M
NAIME,TR,F
NALAN,TR,F
NAMK,TR,M
NARIMAN,TR,F
NARIN,TR,F
NASIDE,TR,F
NASIT,TR,M
NASUH,TR,M
NAZ,TR,F
NAZAN,TR,F
NAZIF,TR,M
NAZIFE,TR,F
NAZIK,TR,M
NAZIME,TR,F
NAZIRE,TR,F
NAZL,TR,F
NAZM,TR,M
NAZMI,TR,M
NAZMICAN,TR,M
NAZMIYE,TR,F
NEBAHAT,TR,F
NEBI,TR,M
NEBIHA,TR,F
NECAATTIN,TR,M
NECAT,TR,M
NECATI,TR,M
NECATTIN,TR,?
NECDET,TR,M
NECIBE,TR,F
NECIP,TR,M
NECLA,TR,F
NECMETTIN,TR,M
NECMI,TR,M
NECMIYE,TR,F
NEDIM,TR,M
NEDIME,TR,F
NEFISE,TR,F
NEHAL,TR,F
NEHIR,TR,F
NEJAT,TR,M
NEJDET,TR,M
NEJLA,TR,F
NELIHA,TR,F
NERGIS,TR,F
NERGIZ,TR,F
NERIMAN,TR,F
NERMIN,TR,F
NESAT,TR,M
NESE,TR,F
NESET,TR,M
NESIBE,TR,F
NESIM,TR,M
NESLIHAN,TR,F
NESRIN,TR,F
NETICE,TR,F
NEVAL,TR,F
NEVIDE,TR,F
NEVIL,TR,M
NEVIM,TR,F
NEVIN,TR,F
NEVRA,TR,F
NEVRIYE,TR,F
NEVRUZ,TR,M
NEVZAT,TR,M
NEZAHAT,TR,F
NEZAKET,TR,F
NEZIH,TR,M
NEZIHA,TR,F
NEZIHE,TR,F
NEZIR,TR,M
NEZIYE,TR,F
NIDA,TR,F
NIGAR,TR,F
NIGMET,TR,F
NIHAL,TR,F
NIHAN,TR,F
NIHAT,TR,M
NIL,TR,F
NILAY,TR,F
NILGUL,TR,F
NILGUN,TR,F
NILUFER,TR,F
NIMET,TR,F
NIRGUL,TR,F
NISANUR,TR,F
NIYAZI,TR,M
NIZAM,TR,M
NIZAMETTIN,TR,M
NOKTA,TR,?
NUH,TR,M
NUKET,TR,F
NUMAN,TR,M
NUR,TR,F
NURAL,TR,F
NURAN,TR,F
NURAY,TR,F
NURBANU,TR,F
NURCAN,TR,F
NURDAGUL,TR,F
NURDAN,TR,F
NURDANE,TR,F
NURDOGAN,TR,F
NURETTIN,TR,M
NURGUL,TR,F
NURHAN,TR,F
NURHAYAT,TR,F
NURI,TR,M
NURIYE,TR,F
NURSAH,TR,F
NURSAL,TR,F
NURSAT,TR,M
NURSEL,TR,F
NURSEN,TR,F
NURTEN,TR,F
NURULLAH,TR,M
NUSRET,TR,M
NUSRETTIN,TR,M
OGUL,TR,M
OGULCAN,TR,M
OGUN,TR,M
OGUZ,TR,M
OGUZCAN,TR,M
OGUZHAN,TR,M
OKAN,TR,M
OKAY,TR,M
OKKES,TR,M
OKTAY,TR,M
OKYAY,TR,M
OLCAY,TR,F
OLCUN,TR,M
OLGAY,TR,M
OLGUN,TR,M
OMER,TR,M
OMERCAN,TR,M
OMUR,TR,?
ONAN,TR,M
ONAT,TR,M
ONAY,TR,M
ONDER,TR,M
ONER,TR,M
ONUR,TR,M
ONURALP,TR,M
ONURCAN,TR,M
ONURHAN,TR,M
ORAL,TR,M
ORCUN,TR,M
ORHAN,TR,M
ORHUN,TR,M
ORKAN,TR,M
ORKIDE,TR,F
ORKUN,TR,M
ORUC,TR,M
OSMAN,TR,M
OYA,TR,F
OYKU,TR,F
OYTUN,TR,M
OZAN,TR,M
OZAY,TR,M
OZCAN,TR,M
OZDAL,TR,M
OZDEMIR,TR,M
OZDEN,TR,F
OZEN,TR,M
OZER,TR,M
OZGE,TR,F
OZGEN,TR,F
OZGENUR,TR,F
